disability_category,accommodation_type,functional_limitation,cost_tier,employer_size,industry,employee_tenure_years,days_to_implement,prior_requests,outcome_positive
Chronic Illness,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Large (500+),Retail/Hospitality,6.9,2,0,1
Psychiatric,Policy Change / Exemption,Mobility,$0 (No Cost),Mid-size (50–499),Government/Public Sector,0.5,81,2,0
Cognitive,Policy Change / Exemption,Mobility,"$501–$2,000",Large (500+),Manufacturing,5.4,44,0,1
Musculoskeletal,Assistive Technology,Concentration/Focus,$0 (No Cost),Large (500+),Manufacturing,1.4,25,1,1
Sensory (Vision/Hearing),Assistive Technology,Concentration/Focus,"$2,001+",Large (500+),Healthcare,3.8,4,1,0
Psychiatric,Flexible Scheduling,Communication,$0 (No Cost),Mid-size (50–499),Technology,10.3,47,0,1
Cognitive,Leave of Absence,Mobility,$0 (No Cost),Large (500+),Manufacturing,6.6,33,1,0
Musculoskeletal,Assistive Technology,Concentration/Focus,$0 (No Cost),Large (500+),Healthcare,7.5,96,1,1
Psychiatric,Flexible Scheduling,Dexterity,$0 (No Cost),Large (500+),Healthcare,15.2,71,0,1
Musculoskeletal,Physical Modification,Mobility,$1–$500,Large (500+),Finance/Insurance,0.5,74,0,1
Psychiatric,Ergonomic Equipment,Vision,$0 (No Cost),Mid-size (50–499),Healthcare,13.3,29,0,1
Psychiatric,Leave of Absence,Mobility,$1–$500,Mid-size (50–499),Manufacturing,12.3,28,0,0
Sensory (Vision/Hearing),Remote Work / Telework,Communication,"$501–$2,000",Large (500+),Finance/Insurance,3.7,33,2,1
Musculoskeletal,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Education,8.6,14,1,0
Cognitive,Ergonomic Equipment,Communication,$0 (No Cost),Large (500+),Manufacturing,0.5,25,1,1
Musculoskeletal,Policy Change / Exemption,Concentration/Focus,$0 (No Cost),Small (<50),Education,3.4,22,0,1
Sensory (Vision/Hearing),Assistive Technology,Concentration/Focus,$1–$500,Small (<50),Technology,2.7,56,0,1
Musculoskeletal,Physical Modification,Stamina/Endurance,$1–$500,Mid-size (50–499),Government/Public Sector,18.2,64,0,1
Sensory (Vision/Hearing),Assistive Technology,Mobility,$0 (No Cost),Small (<50),Education,1.3,40,1,1
Neurological,Remote Work / Telework,Concentration/Focus,$1–$500,Large (500+),Manufacturing,3.4,12,0,1
Neurological,Flexible Scheduling,Hearing,$0 (No Cost),Small (<50),Retail/Hospitality,0.9,84,1,1
Cognitive,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Large (500+),Technology,3.5,47,1,1
Musculoskeletal,Remote Work / Telework,Stamina/Endurance,$0 (No Cost),Small (<50),Retail/Hospitality,7.3,31,2,1
Psychiatric,Leave of Absence,Stamina/Endurance,"$2,001+",Large (500+),Manufacturing,5.5,37,1,1
Sensory (Vision/Hearing),Flexible Scheduling,Mobility,$0 (No Cost),Mid-size (50–499),Technology,0.5,7,0,1
Chronic Illness,Remote Work / Telework,Communication,$0 (No Cost),Small (<50),Healthcare,0.5,22,2,1
Psychiatric,Assistive Technology,Concentration/Focus,$0 (No Cost),Small (<50),Manufacturing,4.9,59,0,1
Musculoskeletal,Flexible Scheduling,Dexterity,$1–$500,Mid-size (50–499),Healthcare,4.3,7,0,1
Cognitive,Flexible Scheduling,Mobility,$0 (No Cost),Large (500+),Manufacturing,3.1,6,2,1
Sensory (Vision/Hearing),Assistive Technology,Concentration/Focus,$0 (No Cost),Large (500+),Education,1.2,47,1,1
Cognitive,Remote Work / Telework,Mobility,$0 (No Cost),Mid-size (50–499),Technology,0.5,35,3,1
Neurological,Physical Modification,Vision,$1–$500,Mid-size (50–499),Retail/Hospitality,6.9,7,0,1
Sensory (Vision/Hearing),Policy Change / Exemption,Dexterity,$0 (No Cost),Small (<50),Healthcare,4.3,20,0,0
Musculoskeletal,Flexible Scheduling,Hearing,"$501–$2,000",Mid-size (50–499),Government/Public Sector,6.6,31,2,1
Cognitive,Policy Change / Exemption,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Government/Public Sector,6.1,29,0,1
Musculoskeletal,Policy Change / Exemption,Stamina/Endurance,$0 (No Cost),Small (<50),Finance/Insurance,3.2,33,0,0
Sensory (Vision/Hearing),Leave of Absence,Communication,"$2,001+",Mid-size (50–499),Finance/Insurance,2.3,19,1,1
Musculoskeletal,Physical Modification,Vision,"$501–$2,000",Large (500+),Education,0.5,30,0,1
Neurological,Physical Modification,Communication,$0 (No Cost),Small (<50),Manufacturing,2.8,40,1,1
Sensory (Vision/Hearing),Physical Modification,Mobility,"$501–$2,000",Small (<50),Healthcare,2.9,38,1,1
Neurological,Physical Modification,Stamina/Endurance,$1–$500,Small (<50),Healthcare,1.2,19,0,1
Cognitive,Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Small (<50),Technology,9.3,42,1,1
Musculoskeletal,Ergonomic Equipment,Concentration/Focus,"$501–$2,000",Small (<50),Finance/Insurance,4.9,11,0,1
Sensory (Vision/Hearing),Assistive Technology,Communication,$1–$500,Mid-size (50–499),Education,0.6,15,1,1
Musculoskeletal,Leave of Absence,Mobility,$0 (No Cost),Small (<50),Healthcare,11.9,47,0,1
Musculoskeletal,Remote Work / Telework,Vision,$1–$500,Large (500+),Technology,3.9,42,2,1
Musculoskeletal,Flexible Scheduling,Mobility,$0 (No Cost),Large (500+),Healthcare,1.5,21,2,1
Psychiatric,Assistive Technology,Vision,$0 (No Cost),Large (500+),Education,13.1,14,1,1
Psychiatric,Assistive Technology,Communication,"$2,001+",Mid-size (50–499),Healthcare,2.8,16,2,0
Sensory (Vision/Hearing),Assistive Technology,Dexterity,$1–$500,Small (<50),Healthcare,8.2,39,1,0
Sensory (Vision/Hearing),Remote Work / Telework,Concentration/Focus,$1–$500,Small (<50),Education,4.5,34,1,1
Sensory (Vision/Hearing),Remote Work / Telework,Hearing,$1–$500,Small (<50),Technology,1.2,14,0,1
Psychiatric,Assistive Technology,Communication,$1–$500,Large (500+),Education,5.6,42,1,1
Musculoskeletal,Remote Work / Telework,Mobility,$0 (No Cost),Large (500+),Retail/Hospitality,1.5,20,2,1
Psychiatric,Ergonomic Equipment,Mobility,"$2,001+",Mid-size (50–499),Finance/Insurance,1.8,11,0,1
Chronic Illness,Flexible Scheduling,Mobility,$1–$500,Mid-size (50–499),Manufacturing,2.3,17,1,1
Chronic Illness,Remote Work / Telework,Mobility,$1–$500,Mid-size (50–499),Finance/Insurance,2.1,27,1,1
Psychiatric,Remote Work / Telework,Dexterity,$0 (No Cost),Small (<50),Finance/Insurance,4.1,41,1,1
Sensory (Vision/Hearing),Assistive Technology,Hearing,$0 (No Cost),Large (500+),Manufacturing,6.8,39,0,1
Psychiatric,Assistive Technology,Stamina/Endurance,$0 (No Cost),Small (<50),Manufacturing,2.5,23,1,0
Musculoskeletal,Physical Modification,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Government/Public Sector,3.2,29,3,1
Psychiatric,Ergonomic Equipment,Communication,$0 (No Cost),Mid-size (50–499),Finance/Insurance,0.5,22,2,1
Musculoskeletal,Remote Work / Telework,Vision,$1–$500,Small (<50),Government/Public Sector,3.4,14,0,1
Sensory (Vision/Hearing),Physical Modification,Vision,"$501–$2,000",Mid-size (50–499),Healthcare,1.0,24,0,0
Cognitive,Flexible Scheduling,Mobility,$0 (No Cost),Large (500+),Finance/Insurance,1.8,4,0,1
Psychiatric,Remote Work / Telework,Hearing,$0 (No Cost),Small (<50),Finance/Insurance,1.9,65,1,1
Neurological,Assistive Technology,Communication,$1–$500,Mid-size (50–499),Education,3.5,29,1,1
Sensory (Vision/Hearing),Flexible Scheduling,Dexterity,$0 (No Cost),Mid-size (50–499),Government/Public Sector,6.1,34,0,1
Cognitive,Physical Modification,Hearing,"$2,001+",Small (<50),Education,2.8,14,1,0
Neurological,Physical Modification,Dexterity,$0 (No Cost),Small (<50),Education,0.5,28,1,1
Musculoskeletal,Leave of Absence,Concentration/Focus,$0 (No Cost),Small (<50),Government/Public Sector,12.1,32,0,1
Sensory (Vision/Hearing),Assistive Technology,Stamina/Endurance,$0 (No Cost),Small (<50),Education,1.1,21,0,1
Musculoskeletal,Physical Modification,Concentration/Focus,"$2,001+",Mid-size (50–499),Retail/Hospitality,2.7,22,1,1
Cognitive,Remote Work / Telework,Dexterity,$0 (No Cost),Large (500+),Education,13.6,8,2,1
Musculoskeletal,Flexible Scheduling,Mobility,$1–$500,Large (500+),Government/Public Sector,12.0,79,0,1
Sensory (Vision/Hearing),Flexible Scheduling,Dexterity,$0 (No Cost),Large (500+),Retail/Hospitality,3.8,14,0,1
Psychiatric,Physical Modification,Vision,$0 (No Cost),Mid-size (50–499),Finance/Insurance,5.5,16,1,0
Musculoskeletal,Ergonomic Equipment,Concentration/Focus,"$501–$2,000",Large (500+),Government/Public Sector,8.4,68,0,1
Chronic Illness,Flexible Scheduling,Communication,$0 (No Cost),Mid-size (50–499),Manufacturing,1.6,36,1,1
Neurological,Assistive Technology,Stamina/Endurance,$0 (No Cost),Small (<50),Technology,5.5,41,1,0
Musculoskeletal,Leave of Absence,Communication,$1–$500,Mid-size (50–499),Government/Public Sector,1.5,7,0,1
Cognitive,Leave of Absence,Concentration/Focus,"$501–$2,000",Mid-size (50–499),Retail/Hospitality,6.1,28,0,1
Chronic Illness,Assistive Technology,Concentration/Focus,$0 (No Cost),Large (500+),Technology,2.3,8,2,1
Musculoskeletal,Physical Modification,Communication,$0 (No Cost),Mid-size (50–499),Manufacturing,1.5,12,0,1
Neurological,Physical Modification,Stamina/Endurance,"$2,001+",Small (<50),Healthcare,7.9,86,1,0
Neurological,Policy Change / Exemption,Stamina/Endurance,$1–$500,Large (500+),Education,0.8,10,1,1
Sensory (Vision/Hearing),Flexible Scheduling,Concentration/Focus,"$501–$2,000",Small (<50),Manufacturing,4.8,39,0,0
Musculoskeletal,Policy Change / Exemption,Communication,$1–$500,Large (500+),Healthcare,0.5,11,1,1
Psychiatric,Flexible Scheduling,Mobility,$1–$500,Large (500+),Manufacturing,2.8,13,1,1
Cognitive,Leave of Absence,Mobility,$0 (No Cost),Large (500+),Education,9.0,121,0,1
Cognitive,Flexible Scheduling,Dexterity,$0 (No Cost),Large (500+),Manufacturing,7.3,23,1,1
Chronic Illness,Flexible Scheduling,Mobility,$1–$500,Small (<50),Healthcare,3.3,7,2,1
Cognitive,Flexible Scheduling,Stamina/Endurance,$1–$500,Mid-size (50–499),Government/Public Sector,1.9,41,0,1
Sensory (Vision/Hearing),Assistive Technology,Hearing,"$2,001+",Large (500+),Education,1.1,57,0,1
Chronic Illness,Remote Work / Telework,Communication,$1–$500,Large (500+),Healthcare,0.7,43,0,0
Chronic Illness,Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Small (<50),Retail/Hospitality,0.5,22,1,1
Neurological,Assistive Technology,Concentration/Focus,$0 (No Cost),Small (<50),Retail/Hospitality,1.6,22,0,1
Musculoskeletal,Remote Work / Telework,Concentration/Focus,$1–$500,Mid-size (50–499),Manufacturing,0.7,16,1,1
Psychiatric,Leave of Absence,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Manufacturing,6.0,9,1,1
Sensory (Vision/Hearing),Policy Change / Exemption,Dexterity,"$501–$2,000",Mid-size (50–499),Healthcare,0.5,32,2,1
Musculoskeletal,Physical Modification,Vision,$1–$500,Large (500+),Government/Public Sector,7.5,21,1,1
Musculoskeletal,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Large (500+),Retail/Hospitality,1.1,8,0,1
Neurological,Remote Work / Telework,Mobility,$1–$500,Mid-size (50–499),Healthcare,8.7,24,3,1
Musculoskeletal,Policy Change / Exemption,Mobility,$1–$500,Small (<50),Finance/Insurance,5.5,14,0,1
Psychiatric,Flexible Scheduling,Stamina/Endurance,"$501–$2,000",Mid-size (50–499),Finance/Insurance,0.9,30,0,1
Chronic Illness,Remote Work / Telework,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Manufacturing,4.7,28,0,1
Chronic Illness,Ergonomic Equipment,Stamina/Endurance,$1–$500,Small (<50),Retail/Hospitality,18.0,19,0,1
Psychiatric,Ergonomic Equipment,Vision,$0 (No Cost),Small (<50),Retail/Hospitality,2.4,25,0,1
Psychiatric,Remote Work / Telework,Mobility,$1–$500,Mid-size (50–499),Manufacturing,1.8,26,0,0
Musculoskeletal,Physical Modification,Stamina/Endurance,$0 (No Cost),Small (<50),Healthcare,5.5,47,0,1
Chronic Illness,Assistive Technology,Stamina/Endurance,"$501–$2,000",Mid-size (50–499),Education,6.5,24,1,1
Chronic Illness,Leave of Absence,Mobility,"$501–$2,000",Small (<50),Technology,3.4,17,1,1
Psychiatric,Flexible Scheduling,Vision,$1–$500,Small (<50),Finance/Insurance,0.5,20,1,1
Chronic Illness,Flexible Scheduling,Concentration/Focus,$1–$500,Small (<50),Retail/Hospitality,0.5,75,2,1
Psychiatric,Physical Modification,Dexterity,$0 (No Cost),Mid-size (50–499),Education,12.3,12,0,1
Musculoskeletal,Remote Work / Telework,Dexterity,$1–$500,Mid-size (50–499),Finance/Insurance,3.7,21,0,1
Cognitive,Physical Modification,Vision,$0 (No Cost),Mid-size (50–499),Education,1.6,21,1,0
Psychiatric,Remote Work / Telework,Communication,$1–$500,Small (<50),Healthcare,3.8,22,2,1
Psychiatric,Policy Change / Exemption,Mobility,$0 (No Cost),Large (500+),Healthcare,3.5,9,3,1
Musculoskeletal,Leave of Absence,Vision,$1–$500,Mid-size (50–499),Finance/Insurance,0.5,20,0,1
Neurological,Assistive Technology,Dexterity,$0 (No Cost),Mid-size (50–499),Manufacturing,0.5,16,3,0
Cognitive,Leave of Absence,Communication,$1–$500,Mid-size (50–499),Healthcare,2.0,30,0,0
Cognitive,Remote Work / Telework,Dexterity,$1–$500,Large (500+),Healthcare,18.7,52,1,1
Psychiatric,Assistive Technology,Mobility,$0 (No Cost),Large (500+),Manufacturing,1.9,32,1,1
Psychiatric,Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Manufacturing,4.4,27,0,1
Chronic Illness,Policy Change / Exemption,Vision,"$501–$2,000",Large (500+),Finance/Insurance,0.5,34,0,0
Musculoskeletal,Leave of Absence,Mobility,$1–$500,Small (<50),Healthcare,1.9,29,1,1
Chronic Illness,Policy Change / Exemption,Communication,$0 (No Cost),Mid-size (50–499),Finance/Insurance,2.0,24,2,1
Sensory (Vision/Hearing),Policy Change / Exemption,Hearing,$0 (No Cost),Mid-size (50–499),Technology,5.4,46,0,1
Psychiatric,Ergonomic Equipment,Dexterity,$0 (No Cost),Small (<50),Manufacturing,1.5,20,0,1
Chronic Illness,Remote Work / Telework,Vision,$1–$500,Large (500+),Healthcare,11.3,9,1,1
Psychiatric,Policy Change / Exemption,Communication,$1–$500,Large (500+),Finance/Insurance,0.6,16,0,1
Musculoskeletal,Assistive Technology,Hearing,$0 (No Cost),Small (<50),Education,9.2,14,1,1
Neurological,Assistive Technology,Concentration/Focus,$1–$500,Large (500+),Healthcare,0.6,89,0,1
Neurological,Assistive Technology,Communication,$1–$500,Mid-size (50–499),Education,8.8,54,1,1
Sensory (Vision/Hearing),Remote Work / Telework,Communication,$1–$500,Mid-size (50–499),Technology,2.9,27,0,1
Sensory (Vision/Hearing),Remote Work / Telework,Dexterity,$0 (No Cost),Large (500+),Retail/Hospitality,21.1,14,0,1
Cognitive,Remote Work / Telework,Vision,$0 (No Cost),Mid-size (50–499),Government/Public Sector,0.5,45,4,1
Cognitive,Flexible Scheduling,Dexterity,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,4.4,26,1,1
Neurological,Assistive Technology,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,16.0,20,2,1
Psychiatric,Policy Change / Exemption,Communication,$0 (No Cost),Small (<50),Healthcare,3.7,26,2,1
Sensory (Vision/Hearing),Physical Modification,Communication,$0 (No Cost),Mid-size (50–499),Manufacturing,12.6,20,2,1
Cognitive,Assistive Technology,Communication,$0 (No Cost),Mid-size (50–499),Healthcare,0.7,34,0,1
Musculoskeletal,Assistive Technology,Concentration/Focus,$1–$500,Mid-size (50–499),Retail/Hospitality,1.8,8,1,1
Musculoskeletal,Assistive Technology,Communication,$0 (No Cost),Small (<50),Education,1.6,34,0,1
Musculoskeletal,Flexible Scheduling,Vision,$1–$500,Small (<50),Retail/Hospitality,3.4,20,1,1
Psychiatric,Leave of Absence,Dexterity,$0 (No Cost),Large (500+),Manufacturing,2.3,46,0,1
Sensory (Vision/Hearing),Flexible Scheduling,Dexterity,$1–$500,Small (<50),Healthcare,0.5,54,0,1
Musculoskeletal,Physical Modification,Communication,$0 (No Cost),Mid-size (50–499),Education,4.6,62,1,0
Chronic Illness,Leave of Absence,Communication,"$501–$2,000",Large (500+),Technology,2.0,93,2,1
Chronic Illness,Assistive Technology,Concentration/Focus,$1–$500,Large (500+),Healthcare,13.3,61,3,0
Chronic Illness,Policy Change / Exemption,Communication,$0 (No Cost),Small (<50),Education,1.4,45,0,0
Musculoskeletal,Remote Work / Telework,Communication,$1–$500,Large (500+),Education,6.3,9,3,1
Musculoskeletal,Policy Change / Exemption,Mobility,$0 (No Cost),Large (500+),Retail/Hospitality,3.4,2,1,1
Sensory (Vision/Hearing),Leave of Absence,Concentration/Focus,$1–$500,Mid-size (50–499),Finance/Insurance,9.9,49,3,1
Chronic Illness,Leave of Absence,Dexterity,$0 (No Cost),Large (500+),Education,1.1,12,1,1
Neurological,Physical Modification,Communication,$0 (No Cost),Large (500+),Retail/Hospitality,0.5,135,1,1
Cognitive,Policy Change / Exemption,Communication,$0 (No Cost),Mid-size (50–499),Manufacturing,0.7,6,1,1
Psychiatric,Ergonomic Equipment,Mobility,"$501–$2,000",Mid-size (50–499),Education,0.5,44,1,1
Chronic Illness,Assistive Technology,Communication,$0 (No Cost),Large (500+),Technology,4.7,29,0,1
Psychiatric,Leave of Absence,Communication,$1–$500,Large (500+),Technology,1.7,7,1,1
Psychiatric,Leave of Absence,Communication,$0 (No Cost),Mid-size (50–499),Healthcare,7.6,28,1,1
Neurological,Assistive Technology,Stamina/Endurance,$0 (No Cost),Large (500+),Education,3.4,14,0,1
Psychiatric,Policy Change / Exemption,Concentration/Focus,$0 (No Cost),Large (500+),Education,12.2,23,1,1
Psychiatric,Remote Work / Telework,Vision,"$501–$2,000",Large (500+),Healthcare,1.9,24,1,0
Psychiatric,Assistive Technology,Concentration/Focus,"$501–$2,000",Large (500+),Retail/Hospitality,1.1,14,0,1
Musculoskeletal,Flexible Scheduling,Communication,$0 (No Cost),Small (<50),Manufacturing,5.5,19,0,1
Chronic Illness,Remote Work / Telework,Mobility,$1–$500,Small (<50),Retail/Hospitality,0.5,13,0,1
Psychiatric,Policy Change / Exemption,Communication,$0 (No Cost),Mid-size (50–499),Education,15.5,4,1,1
Sensory (Vision/Hearing),Remote Work / Telework,Mobility,$0 (No Cost),Mid-size (50–499),Education,0.5,27,0,1
Chronic Illness,Remote Work / Telework,Vision,$1–$500,Mid-size (50–499),Technology,3.8,61,1,1
Psychiatric,Remote Work / Telework,Communication,$0 (No Cost),Large (500+),Technology,4.7,13,1,1
Psychiatric,Assistive Technology,Stamina/Endurance,$0 (No Cost),Large (500+),Healthcare,7.7,81,0,1
Chronic Illness,Leave of Absence,Mobility,$1–$500,Mid-size (50–499),Finance/Insurance,1.6,93,0,1
Chronic Illness,Policy Change / Exemption,Concentration/Focus,$0 (No Cost),Large (500+),Retail/Hospitality,2.8,18,1,1
Neurological,Flexible Scheduling,Communication,"$501–$2,000",Small (<50),Finance/Insurance,1.2,21,2,1
Chronic Illness,Assistive Technology,Communication,$1–$500,Mid-size (50–499),Manufacturing,0.6,18,1,1
Psychiatric,Assistive Technology,Communication,"$501–$2,000",Small (<50),Government/Public Sector,6.3,9,1,1
Musculoskeletal,Physical Modification,Hearing,$1–$500,Mid-size (50–499),Healthcare,5.1,21,0,1
Sensory (Vision/Hearing),Assistive Technology,Dexterity,"$501–$2,000",Mid-size (50–499),Education,11.4,19,2,1
Musculoskeletal,Remote Work / Telework,Hearing,$0 (No Cost),Large (500+),Technology,1.5,26,0,1
Sensory (Vision/Hearing),Assistive Technology,Mobility,$1–$500,Mid-size (50–499),Healthcare,1.0,28,1,0
Neurological,Assistive Technology,Dexterity,$1–$500,Mid-size (50–499),Healthcare,1.0,9,0,1
Sensory (Vision/Hearing),Assistive Technology,Stamina/Endurance,"$501–$2,000",Small (<50),Finance/Insurance,0.5,38,1,1
Musculoskeletal,Assistive Technology,Stamina/Endurance,$0 (No Cost),Small (<50),Finance/Insurance,4.7,21,1,1
Musculoskeletal,Leave of Absence,Hearing,$1–$500,Large (500+),Finance/Insurance,0.5,10,1,1
Psychiatric,Leave of Absence,Stamina/Endurance,$1–$500,Large (500+),Finance/Insurance,2.2,20,3,0
Psychiatric,Remote Work / Telework,Vision,$0 (No Cost),Mid-size (50–499),Finance/Insurance,2.7,28,0,1
Sensory (Vision/Hearing),Leave of Absence,Dexterity,"$501–$2,000",Small (<50),Healthcare,3.2,68,1,0
Psychiatric,Policy Change / Exemption,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Manufacturing,15.1,61,1,1
Psychiatric,Flexible Scheduling,Dexterity,$0 (No Cost),Large (500+),Finance/Insurance,0.5,16,2,1
Psychiatric,Assistive Technology,Communication,$1–$500,Mid-size (50–499),Government/Public Sector,0.9,22,0,1
Psychiatric,Remote Work / Telework,Vision,$0 (No Cost),Small (<50),Education,5.9,12,4,1
Chronic Illness,Leave of Absence,Dexterity,$0 (No Cost),Mid-size (50–499),Healthcare,7.0,32,0,1
Musculoskeletal,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Small (<50),Government/Public Sector,8.7,17,0,1
Cognitive,Physical Modification,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Education,6.1,21,1,1
Psychiatric,Remote Work / Telework,Concentration/Focus,$1–$500,Small (<50),Healthcare,1.6,51,0,1
Sensory (Vision/Hearing),Assistive Technology,Communication,"$501–$2,000",Mid-size (50–499),Government/Public Sector,5.6,9,1,1
Musculoskeletal,Ergonomic Equipment,Concentration/Focus,$1–$500,Mid-size (50–499),Retail/Hospitality,8.4,61,1,1
Musculoskeletal,Remote Work / Telework,Dexterity,$0 (No Cost),Small (<50),Education,7.1,34,0,1
Chronic Illness,Policy Change / Exemption,Stamina/Endurance,$1–$500,Mid-size (50–499),Healthcare,0.6,59,0,1
Cognitive,Ergonomic Equipment,Vision,"$501–$2,000",Mid-size (50–499),Healthcare,1.2,42,2,1
Chronic Illness,Policy Change / Exemption,Mobility,$1–$500,Large (500+),Government/Public Sector,0.7,48,1,1
Psychiatric,Flexible Scheduling,Communication,$0 (No Cost),Large (500+),Retail/Hospitality,8.6,25,0,1
Psychiatric,Leave of Absence,Concentration/Focus,$0 (No Cost),Small (<50),Healthcare,3.4,10,1,1
Sensory (Vision/Hearing),Flexible Scheduling,Vision,"$501–$2,000",Large (500+),Education,1.7,15,2,0
Musculoskeletal,Remote Work / Telework,Concentration/Focus,"$501–$2,000",Large (500+),Healthcare,0.8,13,1,1
Sensory (Vision/Hearing),Policy Change / Exemption,Concentration/Focus,$0 (No Cost),Large (500+),Healthcare,0.5,3,2,1
Neurological,Physical Modification,Mobility,"$501–$2,000",Mid-size (50–499),Education,5.6,51,1,1
Neurological,Assistive Technology,Dexterity,$0 (No Cost),Mid-size (50–499),Manufacturing,0.5,23,3,0
Chronic Illness,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Small (<50),Education,3.9,12,1,1
Sensory (Vision/Hearing),Leave of Absence,Stamina/Endurance,$1–$500,Large (500+),Education,1.3,90,0,1
Psychiatric,Physical Modification,Dexterity,$1–$500,Mid-size (50–499),Retail/Hospitality,0.7,116,1,1
Psychiatric,Assistive Technology,Dexterity,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,0.5,8,0,1
Neurological,Policy Change / Exemption,Concentration/Focus,"$501–$2,000",Mid-size (50–499),Healthcare,2.0,21,0,1
Neurological,Remote Work / Telework,Concentration/Focus,"$501–$2,000",Small (<50),Healthcare,2.4,20,2,1
Musculoskeletal,Flexible Scheduling,Communication,$0 (No Cost),Small (<50),Healthcare,10.9,11,0,1
Musculoskeletal,Physical Modification,Mobility,$1–$500,Mid-size (50–499),Education,2.0,50,1,1
Sensory (Vision/Hearing),Ergonomic Equipment,Dexterity,$1–$500,Mid-size (50–499),Finance/Insurance,0.7,3,3,0
Chronic Illness,Remote Work / Telework,Mobility,$1–$500,Large (500+),Healthcare,4.3,75,2,1
Neurological,Remote Work / Telework,Communication,"$2,001+",Mid-size (50–499),Government/Public Sector,0.5,26,1,1
Musculoskeletal,Flexible Scheduling,Concentration/Focus,$1–$500,Mid-size (50–499),Finance/Insurance,13.1,85,2,0
Musculoskeletal,Policy Change / Exemption,Stamina/Endurance,$0 (No Cost),Large (500+),Healthcare,9.3,25,1,1
Neurological,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Small (<50),Healthcare,5.9,20,0,1
Musculoskeletal,Assistive Technology,Stamina/Endurance,"$501–$2,000",Large (500+),Healthcare,11.2,52,1,1
Neurological,Ergonomic Equipment,Concentration/Focus,"$2,001+",Large (500+),Healthcare,2.7,85,1,1
Sensory (Vision/Hearing),Flexible Scheduling,Hearing,$0 (No Cost),Small (<50),Manufacturing,8.0,76,2,1
Psychiatric,Assistive Technology,Stamina/Endurance,$0 (No Cost),Small (<50),Healthcare,2.9,5,3,1
Psychiatric,Assistive Technology,Concentration/Focus,$1–$500,Small (<50),Government/Public Sector,23.5,63,0,1
Psychiatric,Leave of Absence,Concentration/Focus,$0 (No Cost),Small (<50),Retail/Hospitality,3.4,19,0,1
Cognitive,Remote Work / Telework,Mobility,$0 (No Cost),Mid-size (50–499),Finance/Insurance,3.8,23,0,0
Sensory (Vision/Hearing),Remote Work / Telework,Concentration/Focus,"$501–$2,000",Small (<50),Finance/Insurance,3.3,19,2,1
Psychiatric,Flexible Scheduling,Mobility,"$501–$2,000",Mid-size (50–499),Retail/Hospitality,4.4,15,1,1
Cognitive,Leave of Absence,Vision,"$501–$2,000",Small (<50),Technology,16.2,21,1,1
Musculoskeletal,Leave of Absence,Stamina/Endurance,$1–$500,Small (<50),Technology,0.6,11,0,1
Neurological,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Education,0.9,63,1,1
Cognitive,Remote Work / Telework,Stamina/Endurance,"$501–$2,000",Small (<50),Healthcare,3.3,42,2,1
Psychiatric,Policy Change / Exemption,Mobility,$0 (No Cost),Large (500+),Education,3.5,30,0,1
Psychiatric,Flexible Scheduling,Hearing,$0 (No Cost),Mid-size (50–499),Education,2.0,19,0,1
Neurological,Remote Work / Telework,Concentration/Focus,"$501–$2,000",Small (<50),Manufacturing,0.6,16,0,1
Psychiatric,Assistive Technology,Dexterity,$1–$500,Small (<50),Retail/Hospitality,6.8,35,1,0
Sensory (Vision/Hearing),Remote Work / Telework,Dexterity,"$501–$2,000",Mid-size (50–499),Retail/Hospitality,1.3,31,0,1
Psychiatric,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Finance/Insurance,7.2,55,3,0
Psychiatric,Assistive Technology,Concentration/Focus,"$2,001+",Large (500+),Education,19.9,16,1,1
Psychiatric,Flexible Scheduling,Communication,$1–$500,Mid-size (50–499),Manufacturing,11.3,15,0,1
Musculoskeletal,Assistive Technology,Vision,$1–$500,Mid-size (50–499),Education,1.0,41,0,1
Psychiatric,Physical Modification,Communication,"$501–$2,000",Mid-size (50–499),Government/Public Sector,1.3,47,2,0
Psychiatric,Assistive Technology,Stamina/Endurance,$0 (No Cost),Large (500+),Manufacturing,1.8,111,2,1
